Text,emotion
happy birthday,love
bless ya I know that feel all too well,love
might be interested thank I was I come I see I wince too much like flatland httpbitly12f0y,joy
some people are wildly shoot on the next street we must leave here as soon as possible,fear
country and western is suitable for calm an agitated animal,fear
you are such a beautiful bride you re gon na love the married life it absolutely rock congrat to you both,joy
why is it so dark outside,surprise
costly experiment on the tooth of live dog or primate not to mention the public disquiet about such animal testing might be avoid and delay reduce,fear
you know that scary realization you are not go to make it until your next paycheck yeah that payday is a painful 13 day away,fear
one of my big pet peeve is when clothe constantly fall of their hanger,anger
rebecque could not hide his astonishment,surprise
my humble prediction 12521260 all day hope I am wrong either way trade the range,fear
I miss you,sadness
how about we play tomorrow,joy
big huggs,love
cheer will do,joy
wake up in a mood and take you out on everyone you talk to,anger
have no idea my uncle come in town from hawaii surprise,surprise
she try to sleep but she was desperately nervous about tomorrow,fear
love your website wish I live close to sample the cupcakey treat,love
like your first broadcast,love
my dad give pretty good datingboy advice,surprise
haha rite I m freeeeeeee britney spear listenin time,joy
haha true thankfully the regular keyboard do the job most of the time,joy
vanavond surprise afmakenpfoewat een werk joehoe is er een in de zaal sinterklaas,surprise
I am about to eat taco bell for the first time in over 10 year,fear
just see a fox as I was get on the freeway I hope it go home,surprise
cherche de pour pour ce samedi soir des idee merci,surprise
I am sorrydeep breath I start a program call panicawayit have work wonder,surprise
just back from my youngest kindergarten graduation grateful my mom save I she have a gift for my son I do not think of it,joy
boooooooo steal my garth christmas tweet I make cd,surprise
come home late one more time and you ll find your stuff outside,anger
meeee too I am listen to sad music and miss you postscript httpwwwdaytrottercom,sadness
she could spend the rest of the night in her room at least one of you could be happy with a glass of wine surlytween,love
I hate the dentistwith a passion,fear
yay mom buy I the sakura bodyshop lotion 3,love
why don t you try to be clear about your intention,anger
tomorrow valerias lunch go to get my hair do but I m arrave late get my cousin babtizm or whatever you spell it,joy
when I was beat up by thief on behalf of some friend of mine as they think that I have a lot of money and would not part with a few coin for their drink,anger
